prompt,response
When was the JakLingko program inaugurated?,"JakLingko was officially unveiled to replace the OK Otrip program on October 8, 2019, at Balaikota, Jakarta."
What is JakLingko?,"JakLingko Indonesia is a company with its main business line in the field of technology, payment integration systems, tariffs and routes, and big data management that started for transportation in the Jabodetabek area and will continue to expand to other areas and fields."
Why is it named JakLingko?,"JakLingko is taken from the word ""jak"" which means Jakarta, while ""lingko"" is taken from a spider web-like system of managing irrigation in Manggarai, East Nusa Tenggara.

Therefore, JakLingko reflects an integrated or interconnected public transportation system like a spider web that connects."
Who are the shareholders of JakLingko?,"PT Jak Lingko Indonesia is owned by:
PT MRT Jakarta
PT Jakpro (LRT Jakarta)
PT Transjakarta
PT Jabodetabek Transportation Integration Mode (MITJ)."
How does the JakLingko card work?,JakLingko Card will provide services to the public to enjoy integrated mode of transportation with just one tap and one fare.
How does the JakLingko application work?,"JakLingko application provides services to the public to use integrated transportation modes by selecting points of departure and destinations, obtaining transportation mode recommendations to be used, and using QR Code for payment."
Which public transport modes are included in JakLingko?,"JakLingko card can be used on:

Large buses like Transjakarta
Medium buses like minitrans
Small buses like mikrotrans
Jakarta MRT
Jakarta LRT
KRL Commuter Line
KAI Airport (empty)"
How do I use the JakLingko card?,"The JakLingko card can be used in the following way:

Make sure that the balance on your JakLingko card is sufficient for the journey.
If the balance is insufficient, please top up at the designated location.
Tap your JakLingko card on the card reader machine when boarding public transportation.
Your balance will only be deducted once when tapping in, and will not be deducted again even if you switch modes of transportation (provided that you do not exit the bus stop / train station)."
What are the terms for JakLingko passengers?,"Prospective passengers and JakLingko passengers must adhere to the following regulations:

Have a JakLingko card.
One JakLingko card can only be used by one person (not a group).
No eating or drinking inside the vehicle.
No pets allowed inside the vehicle.
No smoking inside the vehicle.
No firearms or sharp weapons allowed inside the vehicle.
No baggage exceeding the size of 30cm x 30cm x 30cm allowed.
Boarding and disembarking the vehicle is only allowed at designated stops."
Does JakLingko have customer service?,"If I need further information about JakLingko, I can contact: 

- Contact the customer service number
- Send an email to info@jakLingkoindonesia.co.id
- Visit the official JakLingko website at www.jakLingkoindonesia.co.id
- Visit JakLingko's social media platforms."
Where is the JakLingko office located?,"Simpang Temu Dukuh Building on Juana Street, Menteng, Jakarta 10310, Indonesia."
What are JakLingko's social media platforms?,"YouTube: @JakLingkoIndonesia
Facebook: JakLingko Indonesia
Instagram: @jaklingkoindonesia"
